X,CH1
Second,Volt,
3.36e-03,1.20e+00
3.38e-03,6.00e-01
3.40e-03,0.00e+00
3.42e-03,3.32e+00
3.44e-03,3.28e+00
3.46e-03,3.20e+00
3.48e-03,3.20e+00
3.50e-03,2.56e+00
3.52e-03,1.96e+00
3.54e-03,1.44e+00
3.56e-03,9.60e-01
3.58e-03,5.20e-01
3.60e-03,4.80e-01
3.62e-03,6.40e-01
3.64e-03,6.40e-01
3.66e-03,4.00e-01
3.68e-03,0.00e+00
3.70e-03,-2.00e-01
3.72e-03,5.20e-01
3.74e-03,1.00e+00
3.76e-03,1.20e+00
3.78e-03,1.28e+00
3.80e-03,1.32e+00
3.82e-03,1.32e+00
3.84e-03,1.36e+00
3.86e-03,1.24e+00
3.88e-03,1.12e+00
3.90e-03,1.00e+00
3.92e-03,1.20e+00
3.94e-03,1.28e+00
3.96e-03,1.24e+00
3.98e-03,1.24e+00
4.00e-03,1.28e+00
4.02e-03,1.36e+00
4.04e-03,1.40e+00
4.06e-03,1.36e+00
4.08e-03,1.24e+00
4.10e-03,1.24e+00
4.12e-03,1.12e+00
4.14e-03,1.08e+00
4.16e-03,1.48e+00
4.18e-03,1.52e+00
4.20e-03,1.68e+00
4.22e-03,1.76e+00
4.24e-03,1.60e+00
4.26e-03,1.68e+00
4.28e-03,1.28e+00
4.30e-03,1.36e+00
4.32e-03,1.20e+00
4.34e-03,1.16e+00
4.36e-03,1.24e+00
4.38e-03,1.12e+00
4.40e-03,1.08e+00
4.42e-03,7.60e-01
4.44e-03,6.80e-01
4.46e-03,6.40e-01
4.48e-03,1.20e+00
4.50e-03,1.36e+00
4.52e-03,1.48e+00
4.54e-03,1.44e+00
4.56e-03,1.48e+00
4.58e-03,1.12e+00
4.60e-03,4.40e-01
4.62e-03,4.00e-02
4.64e-03,-4.00e-01
4.66e-03,3.20e+00
4.68e-03,3.20e+00
4.70e-03,3.28e+00
4.72e-03,3.08e+00
4.74e-03,3.20e+00
4.76e-03,3.20e+00
4.78e-03,3.20e+00
4.80e-03,3.12e+00
4.82e-03,2.40e+00
4.84e-03,1.92e+00
4.86e-03,1.52e+00
4.88e-03,3.24e+00
4.90e-03,3.24e+00
4.92e-03,2.64e+00
4.94e-03,2.04e+00
4.96e-03,1.48e+00
4.98e-03,1.32e+00
5.00e-03,1.20e+00
5.02e-03,1.08e+00
5.04e-03,9.60e-01
5.06e-03,9.20e-01
5.08e-03,9.60e-01
5.10e-03,9.20e-01
5.12e-03,9.60e-01
5.14e-03,8.40e-01
5.16e-03,8.80e-01
